age,NumberOffriends,gradyear,gender
17,28,2009,M
17,89,2007,M
16,93,2009,F
17,45,2008,F
16,0,2008,F
18,61,2007,NA
17,55,2007,F
17,81,2008,M
16,204,2008,F
18,48,2006,F
15,0,2009,M
19,30,2006,F
17,9,2009,F
17,23,2006,F
18,2,2006,F
17,0,2006,F
17,0,2008,M
16,42,2009,F
16,101,2009,F
15,0,2009,F
18,2,2006,F
17,20,2007,F
18,1,2006,F
18,9,2007,F
17,66,2007,M
15,21,2009,F
16,10,2008,M
18,64,2006,F
17,1,2008,F
18,51,2007,F
15,2,2009,M
17,29,2007,F
16,0,2009,M
15,74,2009,M
18,273,2007,F
17,0,2007,F
17,0,2008,F
15,109,2009,F
17,46,2009,NA
15,46,2009,F
16,70,2007,M
16,1,2008,M
17,24,2009,F
17,12,2007,F
17,3,2009,F
18,0,2006,F
17,30,2007,F
16,69,2008,F
15,40,2009,F
17,0,2008,NA
18,16,2006,NA
18,0,2006,F
16,2,2008,F
17,0,2007,F
18,18,2006,F
15,43,2009,F
22,35,2008,M
15,50,2009,F
18,30,2006,F
15,32,2009,NA
16,91,2008,F
17,27,2007,NA
17,33,2007,F
17,50,2008,F
17,36,2009,F
16,0,2008,M
17,0,2008,F
17,13,2007,F
24,0,2009,F
17,49,2008,F
17,12,2007,F
17,34,2008,F
19,8,2006,M
16,152,2008,F
18,0,2007,M
16,8,2008,F
17,4,2007,F
17,11,2007,F
18,17,2006,F
19,0,2006,F
16,37,2008,F
17,34,2007,F
17,1,2008,F
17,45,2007,M
17,14,2007,F
17,77,2008,F
15,70,2009,F
15,0,2009,F
17,6,2009,NA
19,0,2006,F
17,9,2008,F
18,8,2006,F
18,7,2006,M
16,60,2008,F
15,61,2009,F
18,0,2006,F
18,1,2008,M
16,0,2008,F
17,18,2007,F
17,23,2007,F
17,1,2009,F
17,42,2008,F
17,0,2009,NA
16,13,2009,M
18,26,2006,F
15,10,2009,F
16,0,2008,F
17,85,2008,F
18,11,2007,F
17,20,2008,F
16,0,2008,NA
16,0,2008,F
17,34,2006,F
19,18,2006,M
18,0,2006,F
16,28,2008,NA
18,21,2006,M
19,11,2006,M
17,0,2006,NA
18,0,2006,F
16,3,2008,F
17,20,2007,F
16,2,2008,F
19,0,2006,F
17,57,2008,NA
17,0,2007,F
17,53,2009,F
17,17,2007,F
17,88,2008,F
17,1,2006,F
16,66,2009,F
15,89,2009,F
18,5,2007,M
17,83,2008,F
18,41,2006,F
18,57,2006,F
15,32,2009,F
18,24,2006,M
16,12,2008,F
18,46,2007,M
18,25,2006,F
17,0,2007,F
15,98,2009,F
18,5,2007,F
18,0,2006,F
17,38,2007,M
18,61,2007,F
16,3,2009,M
17,56,2007,F
18,51,2006,F
17,11,2007,F
16,48,2008,F
17,17,2006,F
17,50,2009,F
16,3,2009,F
16,78,2008,F
15,47,2009,F
18,13,2007,M
16,4,2008,F
17,26,2009,F
18,0,2006,M
16,51,2008,F
16,8,2008,M
17,23,2009,F
18,64,2007,M
17,60,2007,F
17,17,2007,M
17,32,2008,F
17,5,2008,F
18,32,2006,F
17,37,2007,F
18,115,2007,F
15,0,2009,F
18,0,2007,M
17,5,2008,F
15,27,2009,F
18,21,2007,F
16,0,2009,M
16,88,2008,F
17,42,2009,F
18,49,2007,F
17,15,2007,F
17,3,2007,F
18,13,2006,F
17,0,2008,F
15,14,2009,F
17,24,2008,F
19,39,2006,F
16,22,2008,F
20,33,2006,M
17,12,2007,F
15,60,2009,F
17,1,2009,F
19,82,2006,NA
18,0,2009,F
17,0,2009,NA
17,6,2007,M
17,7,2007,F
16,46,2008,F
18,45,2006,F
18,10,2006,F
16,159,2008,F
15,34,2009,M
17,67,2008,F
15,33,2009,F
16,74,2008,M
16,15,2008,F
18,0,2006,F
17,45,2008,F
16,5,2008,F
18,24,2006,F
17,39,2009,F
16,28,2008,F
16,0,2008,F
17,26,2006,F
16,4,2009,M
17,0,2006,NA
17,35,2006,F
17,0,2006,NA
17,0,2007,F
17,22,2007,F
17,4,2007,F
17,12,2007,F
18,1,2006,M
17,25,2006,F
17,0,2007,M
19,66,2006,M
18,0,2006,F
18,119,2006,F
16,86,2009,F
17,7,2008,M
17,0,2007,NA
18,33,2007,F
17,7,2009,M
17,29,2007,F
17,62,2008,F
17,39,2007,F
16,0,2008,F
17,3,2007,F
16,9,2008,M
17,3,2007,F
19,7,2006,F
17,7,2008,M
17,12,2007,M
18,5,2007,F
16,45,2008,M
18,14,2007,F
18,24,2007,F
17,48,2008,F
18,11,2007,F
18,26,2007,M
15,4,2009,F
18,57,2007,F
17,3,2006,NA
15,24,2009,F
17,27,2008,F
17,15,2006,F
19,0,2006,M
18,5,2006,F
16,6,2008,F
15,15,2009,F
17,0,2007,F
17,17,2006,M
18,50,2006,F
17,47,2007,F
17,125,2007,M
18,28,2007,F
18,31,2007,F
18,15,2006,F
17,7,2006,F
16,0,2008,F
15,17,2009,F
15,7,2009,M
17,7,2009,F
18,20,2006,F
18,82,2006,M
17,2,2007,F
16,38,2008,M
17,39,2009,NA
18,8,2006,F
16,61,2008,M
15,0,2009,F
18,86,2006,F
15,59,2009,F
18,13,2006,F
18,12,2006,F
18,22,2006,NA
17,11,2007,F
16,1,2008,F
15,0,2009,M
18,11,2006,M
18,52,2007,F
19,35,2006,F
16,36,2009,F
15,28,2009,M
17,1,2006,F
19,23,2006,M
16,47,2008,F
18,26,2006,F
16,9,2008,F
16,25,2008,F
17,37,2006,F
15,0,2009,F
16,41,2008,F
18,27,2006,F
16,95,2009,M
17,0,2006,F
16,24,2008,M
14,26,2009,M
17,0,2006,F
15,0,2009,F
17,31,2008,F
17,4,2006,F
16,226,2008,M
18,69,2006,F
15,38,2009,F
18,23,2006,F
17,17,2007,F
18,13,2006,F
17,62,2007,F
17,50,2007,F
17,13,2008,F
17,0,2006,F
17,112,2007,F
17,7,2008,F
17,47,2007,F
17,3,2007,M
16,0,2008,F
17,16,2007,M
15,17,2009,F
18,50,2007,F
15,16,2009,F
17,0,2006,F
16,48,2009,M
17,0,2008,F
15,16,2009,F
106,0,2008,F
15,20,2009,F
15,6,2009,F
17,0,2007,NA
19,50,2006,F
17,50,2006,F
16,7,2008,F
17,20,2007,NA
61,70,2006,F
18,24,2006,M
16,43,2008,F
18,0,2006,F
17,1,2008,M
17,33,2007,F
17,3,2007,F
17,141,2007,F
17,18,2008,F
18,7,2006,F
18,12,2007,F
16,3,2009,F
18,37,2007,F
15,0,2009,F
19,7,2006,M
17,0,2009,F
19,32,2006,M
19,6,2006,M
15,0,2009,F
15,37,2009,M
16,5,2009,M
17,29,2007,NA
17,22,2007,M
17,0,2007,F
17,23,2008,F
17,8,2009,F
16,59,2009,F
17,32,2007,F
18,0,2006,F
17,63,2007,NA
16,19,2008,F
17,30,2009,F
17,0,2007,F
16,18,2008,M
18,33,2006,F
18,50,2006,M
15,40,2009,F
18,60,2006,F
16,51,2008,F
18,17,2006,F
17,13,2007,F
17,0,2007,F
17,3,2009,F
17,21,2007,F
17,11,2009,F
17,1,2007,F
18,0,2006,F
18,13,2007,F
17,4,2007,F
18,30,2006,F
18,19,2007,F
19,28,2006,M
15,1,2009,F
16,49,2008,NA
18,0,2006,M
17,2,2007,M
19,79,2006,F
19,71,2007,F
17,35,2007,F
16,8,2009,F
16,20,2009,M
15,11,2009,M
17,86,2007,F
16,103,2008,F
18,0,2006,F
17,43,2008,F
16,3,2008,F
16,32,2008,NA
18,39,2007,F
15,6,2009,F
16,23,2008,F
17,59,2006,M
18,5,2006,M
17,43,2008,F
18,0,2007,F
22,7,2007,M
16,49,2008,F
15,2,2009,F
17,4,2008,M
18,84,2006,NA
18,0,2006,F
16,1,2008,F
106,5,2008,F
17,21,2007,NA
17,55,2009,F
17,46,2007,M
18,27,2006,F
17,17,2009,F
16,0,2009,M
17,22,2007,NA
17,50,2008,NA
15,20,2009,F
18,9,2006,F
15,0,2009,NA
18,36,2006,F
17,26,2007,F
15,34,2009,M
15,18,2009,M
18,17,2007,M
18,4,2006,F
16,0,2009,M
16,14,2008,F
16,89,2008,F
17,0,2009,F
16,24,2008,F
18,11,2006,F
16,13,2008,F
17,34,2007,F
15,14,2009,F
16,19,2008,F
17,61,2008,NA
17,64,2008,F
18,25,2006,F
15,1,2009,F
17,56,2008,F
17,9,2007,M
17,30,2007,F
17,23,2008,F
16,100,2008,F
17,0,2008,NA
16,33,2008,F
17,7,2008,F
17,0,2006,NA
15,134,2009,F
17,1,2007,NA
18,14,2006,F
18,23,2006,F
15,7,2009,M
17,0,2009,NA
16,5,2008,F
17,0,2009,NA
16,47,2008,F
19,47,2006,F
18,38,2006,F
17,54,2006,F
17,0,2008,F
17,5,2007,NA
16,1,2009,M
17,38,2008,F
17,114,2007,F
17,32,2008,F
15,3,2009,F
17,26,2007,F
17,63,2006,M
17,12,2006,F
17,47,2008,F
18,33,2007,F
106,0,2008,M
16,7,2008,M
18,26,2006,F
17,1,2009,NA
17,25,2007,F
17,7,2008,F
15,75,2009,F
17,26,2006,NA
16,21,2008,F
18,31,2006,F
17,0,2007,F
15,33,2009,NA
17,0,2008,F
17,0,2009,F
17,162,2008,M
17,85,2007,M
17,19,2008,F
19,9,2006,F
16,16,2008,F
17,28,2008,M
17,85,2007,F
19,16,2006,F
19,13,2006,M
17,0,2007,F
16,43,2008,F
17,24,2007,F
17,0,2009,M
15,71,2009,F
19,0,2006,M
18,38,2007,M
18,49,2006,F
15,0,2009,F
17,42,2007,F
16,107,2008,F
15,78,2009,F
17,0,2007,F
17,0,2009,NA
18,25,2006,F
16,55,2008,F
18,2,2006,F
15,7,2009,F
17,0,2007,F
16,140,2009,F
16,0,2008,M
17,66,2007,F
17,12,2008,F
18,0,2006,F
17,10,2008,M
18,17,2006,M
18,0,2006,F
18,63,2007,F
17,0,2007,F
16,75,2009,F
16,93,2009,F
17,15,2007,F
18,28,2006,F
15,11,2009,F
15,31,2009,NA
17,19,2007,F
17,8,2008,F
17,33,2009,F
16,24,2008,F
17,11,2009,F
16,2,2008,M
15,62,2009,F
15,13,2009,M
18,21,2006,M
15,70,2009,F
15,0,2009,F
15,7,2009,F
17,0,2009,M
17,3,2007,F
16,9,2008,F
15,182,2009,F
16,30,2008,F
16,0,2008,F
17,57,2006,F
15,47,2009,F
18,72,2006,F
17,88,2009,NA
16,0,2008,F
18,20,2007,F
17,0,2008,F
17,46,2006,NA
17,108,2007,F
15,8,2009,F
18,9,2006,F
16,0,2008,F
16,16,2009,F
17,59,2007,F
16,7,2008,F
16,0,2008,F
15,18,2009,F
17,0,2006,NA
19,32,2006,F
16,60,2008,F
16,8,2008,F
15,3,2009,F
15,0,2009,F
17,0,2006,F
15,52,2009,F
15,0,2009,F
19,87,2006,F
16,76,2008,F
17,30,2007,F
15,15,2009,M
16,69,2008,F
16,0,2008,NA
17,45,2009,NA
16,24,2009,M
16,0,2008,F
18,30,2006,M
17,2,2009,F
15,18,2009,F
19,0,2006,F
18,22,2006,F
19,17,2006,M
18,7,2006,F
15,33,2009,F
15,61,2009,F
106,17,2007,F
16,17,2009,M
15,25,2009,F
18,0,2006,F
17,0,2008,M
18,0,2006,F
17,22,2008,F
15,5,2009,F
19,56,2006,M
17,4,2006,F
16,1,2009,F
16,15,2008,F
15,74,2009,F
18,3,2006,F
17,19,2007,F
17,14,2009,M
14,13,2009,F
16,11,2009,F
16,44,2008,M
18,37,2007,F
18,0,2007,F
16,137,2009,F
18,23,2007,F
16,135,2009,F
18,0,2006,F
15,29,2009,F
16,30,2009,M
16,60,2008,F
17,75,2008,M
15,51,2009,F
17,50,2008,F
18,19,2006,F
17,20,2007,F
16,22,2008,M
16,26,2008,F
18,5,2006,F
17,6,2007,F
17,72,2007,F
17,53,2007,F
17,0,2007,NA
18,20,2007,F
17,16,2007,NA
16,5,2008,F
16,167,2008,F
16,32,2008,F
17,0,2006,F
18,74,2006,F
17,45,2006,F
17,33,2007,F
17,36,2009,NA
16,43,2008,F
17,3,2007,F
18,2,2007,F
18,26,2006,F
18,49,2007,F
18,5,2006,F
15,76,2009,F
17,1,2006,NA
17,34,2007,F
17,57,2007,F
18,22,2006,F
15,0,2009,F
18,17,2006,M
19,85,2006,F
16,35,2008,F
18,0,2006,F
17,11,2007,F
15,65,2009,F
17,10,2009,F
18,1,2006,F
19,0,2006,F
18,6,2006,F
17,59,2007,F
17,93,2008,F
18,16,2006,F
17,81,2008,F
18,0,2006,F
16,13,2008,F
15,159,2009,F
17,18,2007,M
17,124,2007,M
17,0,2008,F
17,3,2007,F
15,18,2009,F
16,0,2008,F
17,7,2007,M
25,0,2009,F
15,41,2009,F
17,74,2008,F
17,47,2007,F
16,32,2008,F
16,43,2009,F
17,111,2006,NA
17,15,2007,F
16,0,2008,M
16,21,2008,M
17,10,2008,F
15,19,2009,F
15,18,2009,F
17,9,2008,F
16,26,2009,M
16,49,2008,F
17,0,2008,F
15,14,2009,F
17,6,2008,NA
15,7,2009,M
16,1,2008,M
19,59,2006,F
17,23,2007,F
16,22,2009,F
17,29,2009,F
16,0,2007,F
18,9,2006,F
19,32,2006,F
18,21,2006,F
19,0,2006,F
17,21,2006,F
16,74,2008,F
15,20,2009,F
16,49,2009,F
16,95,2008,F
16,166,2008,F
15,5,2009,NA
17,0,2008,M
18,25,2006,F
16,14,2008,F
15,86,2009,F
17,0,2007,M
17,3,2008,M
16,47,2008,F
16,8,2009,F
17,45,2008,F
18,41,2007,M
17,51,2008,NA
17,16,2007,F
16,0,2009,F
17,0,2007,NA
17,4,2008,F
19,0,2006,F
17,0,2009,F
18,12,2007,F
18,12,2006,F
18,96,2007,F
17,74,2007,F
17,37,2007,F
16,46,2008,F
18,44,2006,F
18,5,2007,F
17,14,2007,F
17,7,2007,M
18,74,2006,F
17,0,2006,NA
16,35,2008,F
16,34,2008,F
16,9,2008,M
29,204,2008,F
19,0,2006,F
16,0,2008,F
14,5,2006,M
19,38,2006,F
18,8,2007,F
17,76,2009,F
19,28,2006,M
17,18,2007,F
18,20,2009,F
18,12,2006,M
17,1,2008,F
17,0,2007,F
19,4,2006,M
15,49,2009,F
18,14,2007,F
18,0,2006,F
17,0,2009,NA
18,9,2006,M
15,60,2009,F
17,25,2007,F
18,29,2006,F
16,159,2008,F
17,14,2007,F
17,0,2007,F
17,125,2007,F
19,105,2006,F
17,1,2007,M
16,52,2009,F
18,32,2006,F
17,36,2007,F
17,55,2009,F
17,0,2009,F
16,53,2008,F
19,70,2006,F
16,78,2008,M
15,82,2009,F
19,0,2006,M
17,58,2007,F
16,16,2008,F
16,24,2008,NA
16,16,2009,F
18,0,2006,M
17,17,2007,NA
16,121,2009,F
15,20,2009,M
17,31,2007,F
17,15,2008,F
18,26,2007,M
16,8,2009,M
15,26,2008,F
16,18,2008,F
18,16,2006,F
17,41,2006,M
19,37,2006,F
15,10,2009,F
17,16,2006,M
17,0,2009,F
17,84,2007,F
18,29,2007,F
17,0,2007,F
18,11,2007,F
106,88,2009,F
18,50,2006,F
17,34,2009,F
18,32,2006,M
17,55,2007,M
17,0,2006,F
16,26,2008,F
17,65,2007,F
15,119,2009,F
17,21,2007,M
18,24,2006,M
16,0,2008,F
18,32,2007,F
17,13,2007,F
18,7,2006,F
19,0,2006,F
17,84,2007,F
18,35,2006,F
17,81,2007,F
16,4,2008,M
15,4,2009,F
16,1,2008,F
18,39,2006,F
16,10,2008,F
17,60,2008,F
15,212,2009,F
17,17,2006,F
17,9,2007,F
16,19,2009,F
18,4,2006,M
17,20,2009,F
18,6,2006,F
16,18,2008,F
17,66,2007,M
17,0,2009,F
17,21,2008,F
16,7,2008,M
15,1,2009,F
17,74,2009,NA
17,29,2009,NA
17,28,2008,F
17,20,2007,F
17,21,2006,M
15,41,2009,M
17,75,2007,F
15,17,2009,F
17,26,2007,F
17,0,2007,F
18,23,2006,F
18,15,2006,F
